2025 Boland Central Team,,,,,,,,,
,,,,,,,,,
Girls 14 100m Results (3:20:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,13.6,
1,12.61,"OEWIES, SHASHA-LEE",SH,Heat 2,-1,890,,Q,
2,13,"NEL, AMBER",SH,Heat 2,-1,849,,Q,
3,13.06,"KLAASSEN, LATOYA",PG,Heat 2,-1,843,,Q,
4,13.1,"BESTERFIELD, LISA",GM,Heat 1,-1.1,839,,Q,
5,13.12,"DEUTSCHMANN, MONET",PG,Heat 1,-1.1,837,,Q,
,,,,,,,,,
Boys 14 100m Results (3:30:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,12.0,
1,11.29,"POOLE, LIAM",SH,Heat 2,1.6,824,,Q,
2,11.31,"JACOBS, JENO",HJ,Heat 4,0,820,,Q,
3,11.47,"SMALL, JAYDEN",BL,Heat 2,1.6,786,,Q,
4,11.61,"MATTHEE, BURGER",GM,Heat 1,1.9,756,,Q,
5,11.73,"NGOBENI, VUYO",PR,Heat 5,0,734,,Q,
,,,,,,,,,
Girls 15 100m Results (3:40:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,13.5,
1,12.64,"LAWRENCE, MEACKE",LR,,,Curro,,Q,
2,12.66,"VAN HEERDEN, LEANNÈ",ST,Heat 1,0.1,873,,Q,
3,12.83,"ESTERHUYSEN, CORNELIA",GM,Heat 1,0.1,855,,Q,
4,13.05,"MHONE, MELISSA",SH,Heat 2,-2.5,833,,Q,
5,13.14,"SIMONSE, TARYN",SH,Heat 3,-0.6,824,,Q,
6,13.4,"WATTS, NINA",RH,Heat 3,-0.6,800,,Q,
,,,,,,,,,
Boys 15 100m Results (3:50:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,11.8,
1,11.1,"DAVIDS, RIO",NO,Heat 3,1.5,840,,Q,
2,11.15,"SMALL, GABRIEL",GM,Heat 2,-0.7,828,,Q,
3,11.37,"FINCK, ZEKE",GM,,,Prestige,,Q,
4,11.47,"GOUSSARD, EWALD",SH,Heat 2,-0.7,760,,Q,
5,11.64,"ARENDSE, LEEHANDO",BR,Heat 3,1.5,726,,Q,
5,11.64,"MLABATEKI, LIKHONA",HJ,Heat 4,0.3,726,,Q,
,,,,,,,,,
Girls 17 100m Results (4:00:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,13.1,
1,12.42,"KONDE, FAITH",PG,Heat 4,-0.7,880,,Q,
2,12.54,"KAYSER, CHARNE",SH,Heat 4,-0.7,866,,Q,
3,12.67,"STOFFELS, CHLOE",PG,Heat 3,-2.2,853,,Q,
4,12.69,"CORNELIUS, ASHLEY",GM,Heat 4,-0.7,851,,Q,
5,12.78,"SICKLE, KATHERINE",RH,Heat 5,-1.1,841,,Q,
,,,,,,,,,
Boys 17 100m Results (4:10:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,11.5,
1,10.86,"PADDA, CLAYTON",SH,Heat 2,-1.3,847,,Q,
2,10.92,"BERGH, IZAK",HJ,Heat 2,-1.3,833,,Q,
3,11.04,"MEYER, LEZARIO",SH,Heat 6,-1.1,806,,Q,
4,11.23,"AFRICA, MICAH",HJ,Heat 1,-1,766,,Q,
5,11.41,"SECONDS, MICLYDE",CH,Heat 4,-0.7,729,,Q,
,,,,,,,,,
Women 19 100m Results (4:20:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,13.1,
1,12.75,"CROUSSTER, CASSIDY",LR,Heat 3,-0.1,827,,Q,
2,12.93,"LE ROUX, ALICIA",HU,Heat 1,-2.8,809,,Q,
3,12.99,"VORSTER, SOPHIA",PG,Heat 1,-2.8,803,,Q,
,,,,,,,,,
Men 19 100m Results (4:30:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,11.3,
1,10.71,"DAMON, BRENTLEE",HJ,Heat 1,0.7,845,,Q,
2,10.91,"JAGERS, JEERAHNO",GM,Heat 3,-2.2,797,,Q,
3,10.93,"SAMPSON, A-JAY",SH,Heat 2,-2.2,793,,Q,
,,,,,,,,,
Girls 14 200m Results (11:35:00 AM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,28.5,
1,25.78,"OEWIES, SHASHA-LEE",SH,Heat 4,1.3,902,,Q,
2,25.92,"BESTERFIELD, LISA",GM,Heat 2,0.3,895,,Q,
3,26.47,"JORDAAN, NOA-BELLE",PV,Heat 4,1.3,869,,Q,
4,26.57,"NEL, AMBER",SH,Heat 5,0.5,865,,Q,
5,27.05,"DEUTSCHMANN, MONET",PG,Heat 1,-1.8,843,,Q,
,,,,,,,,,
Boys 14 200m Results (11:45:00 AM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,25.0,
1,23.19,"NGOBENI, VUYO",PR,Heat 3,1.8,764,,Q,
2,23.56,"JACOBS, JENO",HJ,Heat 4,-1,725,,Q,
3,23.78,"POOLE, LIAM",SH,Heat 1,0.3,703,,Q,
4,23.94,"MATTHEE, BURGER",GM,Heat 1,0.3,688,,Q,
5,23.97,"VAN DER WESTHUIZEN, DANIEL",HJ,Heat 3,1.8,685,,Q,
,,,,,,,,,
Girls 15 200m Results (11:55:00 AM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,28.0,
1,26.48,"DIEDERICHS, LIENKA",GM,Heat 2,-2,859,,Q,
2,26.78,"ESTERHUYSEN, CORNELIA",GM,Heat 2,-2,846,,Q,
3,26.8,"VAN WYK, SUMAY",GM,Heat 1,0.7,845,,Q,
4,26.83,"MHONE, MELISSA",SH,Heat 2,-2,844,,Q,
5,27.08,"SIMONSE, TARYN",SH,Heat 1,0.7,833,,Q,
,,,,,,,,,
Boys 15 200m Results (12:05:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,24.3,
1,22.43,"SMALL, GABRIEL",GM,Heat 1,-2,822,,Q,
2,22.5,"DAVIDS, RIO",NO,Heat 3,-1,814,,Q,
3,23.26,"GOUSSARD, EWALD",SH,Heat 4,0.5,730,,Q,
4,23.48,"GOUSSARD, JEAN",SH,Heat 2,-1.1,708,,Q,
5,23.51,"DE KLERK, CAIRO",SH,Heat 4,0.5,705,,Q,
,,,,,,,,,
Girls 17 200m Results (12:15:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,27.6,
1,24.63,"BASSON, KYLIE",LR,,,Curro,,Q,
2,25.27,"KAYSER, CHARNE",SH,Heat 2,-1.7,898,,Q,
3,25.4,"VAN WYK, ELISMA",GM,,,Curro,,Q,
4,25.47,"BINNEMAN, ENYA",LR,Heat 4,-1.6,888,,Q,
5,26.02,"CORNELIUS, ASHLEY",GM,Heat 3,-1.2,862,,Q,
6,26.05,"KONDE, FAITH",PG,Heat 5,-0.6,861,,Q,
7,26.1,"DU TOIT, ZIA",LR,Heat 4,-1.6,859,,Q,
,,,,,,,,,
Boys 17 200m Results (12:25:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,23.3,
1,21.23,"COETZEE, JAEGER",BL,Heat 3,0.6,933,,Q,
2,21.53,"AFRICA, MICAH",HJ,Heat 7,1.2,887,,Q,
3,22.07,"MEYER, LEZARIO",SH,Heat 2,0.8,816,,Q,
4,22.27,"BERGH, IZAK",HJ,Heat 6,0.9,791,,Q,
5,22.46,"PADDA, CLAYTON",SH,Heat 7,1.2,770,,Q,
,,,,,,,,,
Women 19 200m Results (12:40:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,27.5,
1,26.09,"WILSON, MIA",LR,,,BA League 2,,Q,
2,27.09,"CROUSSTER, CASSIDY",LR,Heat 1,-2.2,802,,Q,
,,,,,,,,,
Men 19 200m Results (12:55:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,23.0,
1,21.52,"DAMON, BRENTLEE",HJ,Heat 3,1.1,844,,Q,
2,21.65,"SAMPSON, A-JAY",SH,Heat 3,1.1,827,,Q,
3,22.4,"CLAASEN, JOHADON",NP,Heat 1,-1,740,,Q,
4,22.45,"MOMELEZI, MJIDLANA",DT,Heat 3,1.1,734,,Q,
5,22.54,"BUSH, JO-WAINE",SH,Heat 2,-1.5,725,,Q,
,,,,,,,,,
Girls 14 400m Results (5:20:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,66.5,
1,01:01.5,"DEUTSCHMANN, MONET",PG,Heat 4,,838,,Q,
2,01:01.6,"JORDAAN, NOA-BELLE",PV,Heat 1,,838,,Q,
3,01:02.1,"KRIEK, MIA",PG,Heat 1,,830,,Q,
4,01:03.5,"HAWLEY, NICOLA",PG,Heat 4,,806,,Q,
5,01:03.5,"CALITZ, LEZE",GM,Heat 1,,806,,Q,
,,,,,,,,,
Boys 14 400m Results (5:30:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,58.6,
1,00:54.55,"WILLEMSE, DEACONN",PR,Heat 1,,721,,Q,
2,00:55.58,"PAULSE, LUCA",PV,Heat 2,,688,,Q,
3,00:55.72,"DENNIS, KENRICK",HJ,Heat 2,,683,,Q,
4,00:56.39,"KIRSTEN, JAN-DAWID",GM,Heat 2,,663,,Q,
5,00:56.67,"VAN RENSBURG, XANDRU",GM,Heat 1,,655,,Q,
,,,,,,,,,
Girls 15 400m Results (5:40:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,65.0,
1,00:59.97,"VAN WYK, SUMAY",GM,Heat 2,,870,,Q,
2,01:01.75,"DIEDERICHS, LIENKA",GM,Heat 2,,837,,Q,
3,01:04.28,"DE VILLIERS, BEA",SH,Heat 1,,796,,Q,
4,01:04.73,"MODINGER, MICHAELA",RH,,,Curro,,Q,
5,01:04.77,"SMUTS, JESSICA",RH,Heat 3,,788,,Q,
,,,,,,,,,
Boys 15 400m Results (5:50:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,55.0,
1,0:51.10,"MATTHYS, JORDIN",GM,,,Prestige,,Q,
2,0:52.42,"HENDRICKS, JASON",PR,Heat 1,,776,,Q,
3,0:53.81,"VICTOR, COLE",HJ,Heat 1,,727,,Q,
4,0:54.06,"DAVIDS, RIO",NO,Heat 2,,718,,Q,
5,0:54.20,"GOUSSARD, JEAN",SH,Heat 1,,714,,Q,
6,0:54.26,"DU PLESSIS, JASON",GM,Heat 1,,712,,Q,
,,,,,,,,,
Girls 17 400m Results (6:00:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,64.0,
1,00:56.83,"VAN WYK, ELISMA",GM,,,Curro,,Q,
2,00:57.25,"BINNEMAN, ENYA",LR,Heat 1,,907,,Q,
3,00:57.86,"VILJOEN, PHILIPPA",RH,Heat 3,,894,,Q,
4,00:58.18,"MARTINUS, CUBIN",PG,,,Curro,,Q,
5,00:58.36,"STICKLING, MILANA",BH,Heat 2,,884,,Q,
6,00:58.52,"VILJOEN, DANIELA",BH,Heat 1,,881,,Q,
6,00:58.52,"HUNT, TYLER",PG,,,Curro,,Q,
9,00:59.86,"PAYNE, HANNAH",SH,Heat 1,,855,,Q,
,,,,,,,,,
Boys 17 400m Results (6:10:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,52.8,
1,00:48.17,"COETZEE, JAEGER",BL,Heat 1,,922,,Q,
2,00:50.57,"BOTHA, LUC",PR,Heat 5,,811,,Q,
3,00:50.94,"MARITZ, FJ",HJ,Heat 1,,796,,Q,
4,00:51.68,"MAARMAN, MITCHELL",SH,Heat 3,,768,,Q,
5,00:51.70,"WITBOOI, PEHATRICK",BR,Heat 4,,767,,Q,
,,,,,,,,,
Women 19 400m Results (6:20:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,64.0,
1,00:55.41,"WILSON, MIA",LR,,,Curro,,Q,
2,00:58.29,"BASSON, NELL",BH,Heat 1,,870,,Q,
3,01:00.75,"VISSER, JANIE",PG,Heat 1,,825,,Q,
4,01:02.04,"WILSON, CARA",LR,Heat 1,,803,,Q,
,,,,,,,,,
Men 19 400m Results (6:30:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,52.2,
1,00:47.8,"SCHOEMAN, ABELINUS",HJ,Heat 1,,905,,Q,
2,00:48.6,"VAN DE LINDE, JANU",HJ,Heat 3,,862,,Q,
3,00:49.3,"NEL, FRANCOIS",PR,Heat 3,,833,,Q,
4,00:49.5,"BUSH, JO-WAINE",SH,Heat 1,,826,,Q,
5,00:50.0,"CLAASEN, JOHADON",NP,Heat 1,,802,,Q,
,,,,,,,,,
Girls 14 800m Results (2:00:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,02:36.0,
1,02:19.8,"KRIEK, MIA",PG,Heat 1,,869,,Q,
2,02:27.4,"HUMAN, ANKIA",GM,Heat 2,,806,,Q,
3,02:30.2,"COETZEE, KARIEN",GM,Heat 1,,785,,Q,
4,02:32.7,"KRUGER, NICOLA",GM,Heat 1,,767,,Q,
5,02:33.9,"HAWLEY, NICOLA",PG,Heat 2,,759,,Q,
,,,,,,,,,
Boys 14 800m Results (2:10:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,02:14.0,
1,02:09.5,"PAULSE, LUCA",PV,Final,,493,,Q,
2,02:10.6,"TROLLIP, HOSEA",PV,Final,,472,,Q,
3,02:11.1,"STEENKAMP, MARCEL",HU,Final,,461,,Q,
4,02:13.7,"TIRAS, LORENZO",GM,Final,,411,,Q,
,,,,,,,,,
Girls 15 800m Results (2:20:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,02:34.0,
1,02:10.7,"STANDER, LARA",PG,,,Curro,,Q,
2,02:29.9,"SMUTS, JESSICA",RH,Final,,777,,Q,
3,02:30.3,"VAN DER MERWE, ANNE",HU,Final,,774,,Q,
4,02:31.0,"BOTHA, CHENÈ",BH,Final,,769,,Q,
,,,,,,,,,
Boys 15 800m Results (2:20:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,02:11.5,
1,01:58.9,"MATTHYS, JORDIN",GM,,,Prestige,,Q,
2,02:10.1,"TITUS, JELANO",BR,Final,,452,,Q,
,,,,,,,,,
Girls 17 800m Results (2:30:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,02:32.0,
1,02:13.7,"SMIT, HARRIET",RH,Final,,907,,Q,
2,02:13.9,"VILJOEN, DANIELA",BH,Final,,905,,Q,
3,02:16.1,"VAN DER MERWE, SIMONE",BH,Final,,883,,Q,
4,02:17.9,"PAYNE, HANNAH",SH,Final,,866,,Q,
5,02:18.8,"NEL, EULA",PG,,,Curro,,Q,
6,02:19.8,"HUNT, TYLER",PG,,,Curro,,Q,
7,02:21.5,"ERASMUS, SELMARIE",PV,Final,,835,,Q,
,,,,,,,,,
Boys 17 800m Results (2:40:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,02:04.0,
1,01:57.9,"CLOETE, LETHAN",SH,Final,,678,,Q,
2,01:58.2,"WITBOOI, PEHATRICK",BR,Final,,671,,Q,
3,01:58.9,"LESTER, MARK",PR,Final,,650,,Q,
4,02:01.5,"KARELSE, COLIN",SH,Final,,583,,Q,
,,,,,,,,,
Women 19 800m Results (2:50:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,02:32.0,
1,02:35.2,"BEZUIDEHOUT, NILENE",ST,Final,,728,,,
2,02:46.0,"LEWIS, ERINAY",SH,Final,,663,,,
3,02:46.3,"FATA, AMAHLE",KN,Final,,661,,,
,,,,,,,,,
Men 19 800m Results (3:00:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,02:02.0,
1,01:59.2,"JORDAAN, MATT",HJ,,,Prestige,,Q,
2,02:00.8,"DEELMAN, JELENZO",PJ,Final,,538,,Q,
3,02:02.5,"BEUKES, VALENTINO",SH,Final,,499,,,
,,,,,,,,,
Girls 14 1500m Results (8:20:00 AM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,05:29.0,
1,05:06.6,"KEULER, ABIGAIL",BH,Final,,732,,Q,
2,05:07.3,"HUMAN, ANKIA",GM,Final,,728,,Q,
3,05:10.4,"STEENKAMP, HELENE",BH,Final,,713,,Q,
4,05:16.1,"KALLIS, SAMANTHA",PV,Final,,686,,Q,
5,05:18.0,"KLOPPER, LIYA",BH,Final,,677,,Q,
,,,,,,,,,
Boys 14 1500m Results (8:40:00 AM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,04:45.0,
1,04:25.2,"TROLLIP, HOSEA",PV,Final,,799,,Q,
2,04:32.2,"VILJOEN, LLEWELYN",PR,Final,,763,,Q,
3,04:41.5,"PAULSE, LUCA",PV,Final,,720,,Q,
,,,,,,,,,
Girls 15 1500m Results (9:20:00 AM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,05:25.0,
1,04:37.2,"STANDER, LARA",PG,,,Curro,,Q,
2,04:48.3,"FOURIE, KATERIEN",BH,,,Prestige,,Q,
3,04:52.8,"STANDER, ANKE",PG,,,Stellenberg,,Q,
4,05:05.9,"JACOBS, NICAH",BH,Final,,711,,Q,
5,05:08.0,"WATERS, MEGAN",RH,Final,,701,,Q,
6,05:10.3,"TOUSSANT, AMELIE",PV,Final,,690,,Q,
7,05:11.3,"ELLIS, SIENNA",LR,Final,,685,,Q,
8,05:17.9,"RADEMEYER, LINEKA",LR,Final,,655,,Q,
,,,,,,,,,
Boys 15 1500m Results (9:25:00 AM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,04:35.0,
1,04:24.3,"TITUS, JELANO",BR,Final,,789,,Q,
2,04:24.6,"MATTHYS, JORDIN",GM,,,Prestige,,Q,
3,04:26.0,"KOEKEMOER, LIAM",PR,Final,,780,,Q,
,,,,,,,,,
Girls 17 1500m Results (9:40:00 AM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,05:18.0,
1,04:34.1,"STEENKAMP, ELLA LISA",BH,Final,,869,,Q,
2,04:40.0,"VAN DER MERWE, SIMONE",BH,Final,,830,,Q,
3,04:48.9,"SMIT, HARRIET",RH,Final,,776,,Q,
4,04:50.6,"ERASMUS, SELMARIE",PV,Final,,767,,Q,
5,04:56.9,"VAN WYK, EMMORRAY",SH,Final,,732,,Q,
,,,,,,,,,
Boys 17 1500m Results (10:00:00 AM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,04:13.0,
1,04:14.3,"THYSSEN, AJ",NO,Final,,812,,,
2,04:14.4,"MESIAS, BRONWYNNE",SH,Final,,812,,,
3,04:17.7,"DE BRUIN, BREYTON",SH,Final,,794,,,
,,,,,,,,,
Women 19 1500m Results (10:10:00 AM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,05:09.0,
1,04:36.4,"CONRADIE, ERNA-MARI",PG,Final,,842,,Q,
2,05:00.6,"BESTBIER, LIZE",BH,Final,,704,,Q,
3,05:04.0,"CILLIERS, RUBY",RH,Final,,688,,Q,
,,,,,,,,,
Men 19 1500m Results (10:20:00 AM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,04:13.0,
1,03:57.6,"ARENDSE, LEE-HANRO",SH,Final,,884,,Q,
2,04:16.3,"STEYN, CHRISTOPHER",PR,Final,,772,,,
3,04:28.8,"BENJAMIN, NATHAN",CV,Final,,710,,,
,,,,,,,,,
Girls 15 3000m Results (3:55:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,12:20.0,
1,10:12.4,"STANDER, ANKE",PG,,,Curro,,Q,
2,10:28.3,"FOURIE, KATERIEN",BH,,,BA League,,Q,
3,11:03.1,"DE BEER, LUMARI",LR,Final,,848,,Q,
4,11:13.1,"KEULER, ABIGAIL",BH,Final,,836,,Q,
5,11:13.9,"ELLIS, SIENNA",LR,Final,,835,,Q,
6,11:18.0,"WATERS, MEGAN",RH,Final,,830,,Q,
7,11:23.5,"STRYDOM, GIZE",BH,Final,,824,,Q,
,,,,,,,,,
Boys 15 3000m Results (4:50:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,10:20.0,
